Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.02     0.00        1     0.00     0.00  caml_nativeint_mod
  0.00      0.02     0.00        1     0.00     0.00  caml_program
  0.00      0.02     0.00        1     0.00     0.00  caml_serialize_float_4
  0.00      0.02     0.00        1     0.00     0.00  caml_serialize_int_4
  0.00      0.02     0.00        1     0.00     0.00  caml_string_compare
  0.00      0.02     0.00        1     0.00     0.00  caml_string_set64
  0.00      0.02     0.00        1     0.00     0.00  caml_tanh_float
  0.00      0.02     0.00        1     0.00     0.00  extensible_buffer_sprintf
  0.00      0.02     0.00        1     0.00     0.00  int_of_ocaml_int_option
  0.00      0.02     0.00        1     0.00     0.00  linux_sysinfo
  0.00      0.02     0.00        1     0.00     0.00  string_of_ocaml_string_option

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 50.00% of 0.02 seconds

index % time    self  children    called     name
[1]     50.0    0.00    0.01    4307+74008   <cycle 2 as a whole> [1]
                0.00    0.01    2235+2588        camlBytes__blit_1061 <cycle 2> [3]
                0.00    0.00   43757             camlMoStack__cmp_prev_1833 <cycle 2> [67]
                0.00    0.00   26496             camlFormat__pp_set_margin_1365 <cycle 2> [70]
                0.00    0.00    2514+2253        camlMap__equal_1314 <cycle 2> [98]
                0.00    0.00    1697             camlBytes__iter_1073 <cycle 2> [106]
                0.00    0.00     806+120         camlMoGraph__is_decryptable_6032 <cycle 2> [126]
                0.00    0.00     264+11          camlMoGraph__step_6073 <cycle 2> [148]
                0.00    0.00     229             camlFormat__strput_acc_1533 <cycle 2> [150]
                0.00    0.00     143             camlBytes__cat_1092 <cycle 2> [160]
                0.00    0.00     120             camlMoGraph__get_child_vertex_6051 <cycle 2> [162]
                0.00    0.00      16             camlMoGeneration__iter_4471 <cycle 2> [212]
                0.00    0.00      16             camlMoSmt__nextiv_1834 <cycle 2> [215]
                0.00    0.00       9             camlMoSmt__start_1845 <cycle 2> [236]
                0.00    0.00       8             camlMoGraph__is_connected_6114 <cycle 2> [240]
                0.00    0.00       5             camlMoSmt__dup_1816 <cycle 2> [263]
-----------------------------------------------
                0.01    0.00   25918/25918       camlBytes__blit_1061 <cycle 2> [3]
[2]     50.0    0.01    0.00   25918         camlMoStack__tohexstr_1864 [2]
-----------------------------------------------
                                2588             camlBytes__blit_1061 <cycle 2> [3]
                                   1             camlMoSmt__dup_1816 <cycle 2> [263]
                                  16             camlMoGraph__is_connected_6114 <cycle 2> [240]
                                  52             camlMoGraph__is_decryptable_6032 <cycle 2> [126]
                0.00    0.00       1/4307        camlCore__Syslog__fun_1879 [44]
                0.00    0.00       1/4307        camlCore__Zone__sexp_of_t_2747 [46]
                0.00    0.00       1/4307        camlCore__Time_stamp_counter__entry [45]
                0.00    0.00       1/4307        camlCore_kernel__Perms__fun_3955 [49]
                0.00    0.00       1/4307        camlCore_kernel__Perms__fun_3745 [48]
                0.00    0.00       1/4307        camlSexplib__Exn_magic__fun_1217 [59]
                0.00    0.00       1/4307        camlGraph__Dot__parse_with_bb_from_chan_1562 [56]
